ID,Name,Age,Gender,City,Education,Employment Status,Salary,Health Condition,Credit Score
284,SAENZ-PONCE JUAN CARLOS,24,,Albuquerque,PhD,Employed,"$90,000 ",Good,800
285,CHUMACERO DANIEL,24,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
286,SANCHEZ IRVIN,Unknown,,Albuquerque,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
287,MARTENS VICTORIA,10,,Albuquerque,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
288,THI TO CAM,39,,Albuquerque,,Retired,"$40,000 (Pension)",Good,710
289,NGUYEN NHI,11,,Albuquerque,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
290,MARTINEZ DAVON,23,,Albuquerque,High School,Employed,"$55,000 ",Excellent,780
291,LUCERO MICHAEL,39,,Albuquerque,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
292,AGUIRRE HECTOR,47,,Albuquerque,Master's,Self-employed,"$140,000 ",Excellent,850
293,VU NAM,30,,Albuquerque,,Unemployed,$0 ,Poor,420
294,MARTINEZ ANGEL,22,,Albuquerque,PhD,Employed,"$100,000 ",Average,750
295,BAZAN LUKE,31,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
296,HASKELL LEWIS,63,,Albuquerque,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
297,TREJO JERRY,33,,Albuquerque,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
298,MASCARENAS IAN,9,,Albuquerque,Master's,Retired,"$50,000 (Social Security)",Average,700
299,MASCARENAS OLIVIA,6,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
300,MASCARENAS ELIJAH,5,,Albuquerque,Associate,Employed,"$40,000 ",Good,650
301,MEDINA-PENA GILBERTO,32,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
302,MILLER CLIFFORD,42,,Albuquerque,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
303,SALAS WILFRED,55,,Albuquerque,,Unemployed,$0 ,Average,400
304,FLUITT DON,54,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,770
305,CHAVEZ RONALD,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
306,MARTINEZ MARY,Unknown,,Albuquerque,High School,Gig Worker,"$38,000 (Unstable)",Average,610
307,YOUNG DARYL,39,,Albuquerque,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
308,STANFILL TOBI,20,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Good,730
309,MARTINEZ CHRISTOPHER,39,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
310,ARREDONDO SHAUNNA,Unknown,,Albuquerque,PhD,Employed,"$150,000 (Commission)",Good,820
311,BOLING SHAYLEE,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
312,GURULE ANDRES,Unknown,,Albuquerque,High School,Gig Worker,"$22,000 (Unstable)",Average,540
313,GARCIA GEOVANIS,43,,Albuquerque,Bachelor's,Self-employed,"$80,000 ",Excellent,760
314,MORGAN TONY,50,,Albuquerque,,Unemployed,$0 ,Poor,380 (Typo)
315,ROMERO JUAN,26,,Albuquerque,Associate,Employed (Part-time),"$12,000 (Hourly)",Average,630
316,MULLIN LARRY,58,,Albuquerque,High School,Employed,"$60,000 ",Excellent,800
317,SIEBEN AARON,30,,Albuquerque,Bachelor's,Student (Part-time),"$15,000 (Summer Job)",Good,None
318,GARCIA LEROY,21,,Albuquerque,Master's,Self-employed,"$100,000 (Seasonal)",Average,680
319,STUART MINDY,30,,Albuquerque,PhD,Employed,"$150,000 (Outlier)",Excellent,880
320,SAAVEDRA HARVEY,42,,Albuquerque,High School (GED),Unemployed,$0 ,Poor,N/A
321,CARABAJAL JOHN,Unknown,,Albuquerque,Bachelor's,Self-employed,"$80,000 (Unstable)",Average,630
322,HARPER BILLY,30,,Albuquerque,,Student (Internship),"$20,000 (Stipend)",Good,None
323,RENOVA BLANCA,Unknown,,Albuquerque,Associate,Employed (Part-time),"$30,000 (Hourly)",Excellent,760
324,CHAVEZ-VALDEZ JULIO,Unknown,,Albuquerque,Master's,Unemployed,$0 ,Poor,N/A
325,MCARTHUR CAROLYN,66,,Albuquerque,PhD,Gig Worker,"$45,000 (Unstable)",Average,590
326,AL ABBOUDY SAMIR,44,,Albuquerque,High School,Employed,"$60,000 ",Excellent,810
327,JAQUEZ JAMES,32,,Albuquerque,Bachelor's,Student (Full-time),$0 ,Good,None
328,ORTEGA JOSEPHINE,Unknown,,Albuquerque,,Self-employed,"$120,000 (Seasonal)",Average,660
329,MANNING ERIC,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
330,ARRELLANES CELINA,27,,Albuquerque,PhD,Employed,"$130,000 (Commission)",Good,740
331,SEVERINGHAUS MATTHEW,25,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
332,WAUNEKA LEON,Unknown,,Albuquerque,PhD,Employed,"$90,000 ",Good,800
333,MUCHER JORDAN,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
334,FRANCIA PAUL,Unknown,,Albuquerque,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
335,MCCRAY HUBERT,Unknown,,Albuquerque,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
336,MOLZHON LEO,Unknown,,Albuquerque,,Retired,"$40,000 (Pension)",Good,710
337,TITO PACHECO,39,,Albuquerque,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
338,MEDINA JANNET,24,,Albuquerque,High School,Employed,"$55,000 ",Excellent,780
339,FUENTES BARNEY,Unknown,,Albuquerque,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
340,MIRAMONTES DANIEL,19,,Albuquerque,Master's,Self-employed,"$140,000 ",Excellent,850
341,RIOS CONSUELA,19,,Albuquerque,,Unemployed,$0 ,Poor,420
342,DIMAS JAIME,Unknown,,Albuquerque,PhD,Employed,"$100,000 ",Average,750
343,SMITH JONATHAN,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
344,CARDENAS STEVEN,Unknown,,Albuquerque,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
345,MORENO MAXIMILIAN,59,,Albuquerque,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
346,JABBOUR KHALIL,59,,Albuquerque,Master's,Retired,"$50,000 (Social Security)",Average,700
347,RECIO MARTIN,Unknown,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
348,ESPINOSA ERICA,Unknown,,Albuquerque,Associate,Employed,"$40,000 ",Good,650
349,WHITTLE LONNY,Unknown,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
350,MONTOYA LOUISE,73,,Albuquerque,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
351,CRUZ OBED,17,,Albuquerque,,Unemployed,$0 ,Average,400
352,SOYKA JOHN,41,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,770
353,WRIGHT MAURICE,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
354,CHAVEZ ROY,Unknown,,Albuquerque,High School,Gig Worker,"$38,000 (Unstable)",Average,610
355,FERNANDEZ RONNIE,34,,Albuquerque,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
356,MIRABAL FREDDIE JR,Unknown,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Good,730
357,THOMPSON ELWYN,56,,Albuquerque,PhD,Employed,"$150,000 (Outlier)",Excellent,880
358,BLEA DAVID,Unknown,,Albuquerque,High School (GED),Unemployed,$0 ,Poor,N/A
359,HICKS ERIC,Unknown,,Albuquerque,Bachelor's,Self-employed,"$80,000 (Unstable)",Average,630
360,ANDREWS CHRISTOPHER,Unknown,,Albuquerque,,Student (Internship),"$20,000 (Stipend)",Good,None
361,DELGADO JOSE,Unknown,,Albuquerque,Associate,Employed (Part-time),"$30,000 (Hourly)",Excellent,760
362,ATENCIO CHRISTOPHER,25,,Albuquerque,Master's,Unemployed,$0 ,Poor,N/A
363,BROWN THOMAS,Unknown,,Albuquerque,PhD,Gig Worker,"$45,000 (Unstable)",Average,590
364,PEREZ TUBAYA,20,,Albuquerque,High School,Employed,"$60,000 ",Excellent,810
365,BLEA DEMARKUS,23,,Albuquerque,Bachelor's,Student (Full-time),$0 ,Good,None
366,GARCIA ALBERT,Unknown,,Albuquerque,,Self-employed,"$120,000 (Seasonal)",Average,660
367,DUNKELBERGER ZACKERY,21,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
368,GUTIERREZ VINCENT,40,,Albuquerque,PhD,Employed,"$130,000 (Commission)",Good,740
369,LOPEZ CHRISTOPHER,Unknown,,Albuquerque,Bachelor,Employed,"$80,000 ",Good,720
370,HAWKINS DEVON,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Excellent,N/A
371,SANDOVAL SAMANTHA,19,,Albuquerque,PhD,Self-employed,"$120,000 ",Poor,550
372,BRULE MARC,Unknown,,Albuquerque,High School,Employed,"$45,000 ",Excellent,800
373,YANEZ DONALDO,Unknown,,Albuquerque,Master's,Retired,"$50,000 ",Average,680
374,RAVENEL DEZMOND,22,,Albuquerque,,Student,$0 ,Good,N/A
375,RAMIREZ THOMAS,Unknown,,Albuquerque,,Unemployed,Missing,Poor,400
376,CHAVEZ MARQUS,Unknown,,Albuquerque,Associate,Employed,"$65,000 ",,750
377,MALDONADO BENJAMIN,31,,Albuquerque,High School,Self-employed,"$30,000 ",Excellent,600
378,WILLIS AUDRA,39,,Albuquerque,PhD,Employed,"$100,000 ",Average,790
379,BIRDSONG ERNEST,29,,Atlanta,PhD,Retired,$0 ,Average,537
380,REED MICHAEL,29,,Atlanta,Bachelor's,Unemployed,$0 ,Excellent,None
381,FELICIANO JOHNNY,36,,Atlanta,High School,Unemployed,$0 ,Good,457
382,SPENCER CHARLES,26,,Atlanta,PhD,Unemployed,$0 ,,N/A
383,POPE LUKE,75,,Atlanta,Bachelor's,Retired,$0 ,,None
384,LEARY ERNEST,22,,Atlanta,,Student,$0 ,,N/A
385,HUNT BRUCE,40,,Atlanta,Master's,Self-employed,"$135,068 ",Average,794
386,TURNER DEANDRA,1,,Atlanta,PhD,Employed,"($50,975)",Good,None
387,BATEMAN DEMARIO,25,,Atl,Master's,Unemployed,$0 ,Good,814
388,MILLS TERRY,25,,Atl,PhD,Self-employed,"($102,073)",Poor,780
389,COMBS SCOTTIE,46,,Atl,High School,Freelance,"$25,000 (Hourly)",Excellent,720
390,CLEVELAND DAVID,66,,Atl,,Student (Part-time),"$15,000 (Summer Job)",Good,None
391,WILLIAMS STANLEY,20,,Atl,Master's,Retired (Early),"$35,000 (Pension)",Average,650
392,MCDANIEL MARVIN,55,,Atl,Bachelor's,Self-employed,"$150,000 (Seasonal)",Poor,500
393,DAVIS ABDULLAH,35,,Atl,Associate,Unemployed,$0 ,,N/A
394,WILLIAMS MICHAEL,35,,Atl,PhD,Employed,"$110,000 (Commission)",Good,830
395,BARRY-BUCHANAN MALIK,23,,Atl,Master's,Retired,"$48,000 (Social Security)",Excellent,750
396,TERRY KEITH,28,,Atl,High School,Employed (Gig Work),"$30,000 (Unstable)",Poor,420
397,HIGDON VARDAMAN,29,,Atl,Bachelor's,Student (Full-time),$0 ,Excellent,None
398,BEALS LILLI,25,,Atlanta,PhD,Self-employed,$0 (Business Closed),Poor,480
399,CUNNINGHAM RODNEY,29,,Atlanta,,Unemployed,$0 ,Excellent,N/A
400,RIDDLES CIARA,22,,Atlanta,High School,Employed,"$40,000 ",Good,720
401,GLASS BERNARD JR.,16,,Atlanta,Bachelor's,Student,$0 ,Excellent,None
402,DOBBS CLAUDIA,41,,Atlanta,,Self-employed,"$60,000 (Unstable)",Poor,580
403,LEE COURTNEY,23,,Atlanta,Master's,Unemployed,$0 ,Average,650
404,HINES RASHINA,2,,Atlanta,PhD,Retired,"$75,000 (Pension)",Excellent,810
405,CRAWFORD CHRISTOPHER,29,,Atlanta,Associate,Employed,"$50,000 ",Good,780
406,LOPEZ-CARDENAS JOSE,35,,Atlanta,High School,Unemployed,$0 ,Poor,N/A
407,WILLIAMSON JOSEPH,58,,Atlanta,Bachelor's,Employed (Part-time),"$20,000 (Hourly)",Excellent,700
408,GARCIA-TELLEZ MARTIN,35,,Atlanta,Master's,Self-employed,"$100,000 (Seasonal)",Average,690
409,SNOW ANTONIO,22,,Atlanta,,Student (Full-time),$0 ,Good,None
410,LEE DEMARIO,19,,Atlanta,PhD,Employed,"$120,000 ",Excellent,830
411,SNOW JAMES,40,,Atlanta,Associate,Unemployed,$0 ,Poor,550
412,NEWBERRY ANTHONY,23,,Atlanta,High School,Gig Worker,"$35,000 (Unstable)",Average,620
413,GADSON RONALD,32,,Atlanta,Bachelor's,Employed (Contract),"$80,000 ",Good,750
414,NIAS FELIPE,22,,Atlanta,Master's,Retired,"$55,000 (Social Security)",Excellent,790
415,MOORE KYLE,17,,Atlanta,PhD,Unemployed,$0 ,Poor,N/A
416,ROGERS RAMON,26,,Atlanta,Associate,Employed,"$45,000 ",Average,680
417,OSBY DWAYNE,34,,Atlanta,High School,Student (Part-time),"$15,000 (Summer Job)",Good,None
418,NELSON LAWRENCE,29,,Atlanta,Bachelor's,Self-employed,"$110,000 ",Excellent,820
419,WAUGH JERMAINE,25,,Atlanta,,Unemployed,$0 ,Poor,480
420,GISH JESSE,63,,Atlanta,PhD,Employed,"$130,000 (Commission)",Average,710
421,HILL MARSHALL,55,,Atlanta,Associate,Unemployed,$0 ,Good,N/A
422,WILLIAMS TERRY,47,,Atlanta,High School,Gig Worker,"$28,000 (Unstable)",Poor,520
423,HARRIS CHARLIE,35,,Atlanta,Bachelor's,Employed (Contract),"$90,000 ",Excellent,770
424,HARRIS BRYAN,31,,Atlanta,Master's,Retired,"$60,000 (Social Security)",Average,740
425,REED ROBERT,20,,Atlanta,PhD,Unemployed,$0 ,Poor,N/A
426,BOSTON BRETT,35,,Atlanta,Associate,Employed,"$50,000 ",Good,690
427,LEWIS MARQUETTE,24,,Atlanta,High School,Student (Full-time),$0 ,Excellent,None
428,GRIFFIN RANDY,35,,Atlanta,Bachelor's,Self-employed,"$120,000 ",Excellent,840
429,FELDER HAVANA,1,,Atlanta,,Unemployed,$0 ,Average,450
430,PRICE RONALD,59,,Atlanta,PhD,Employed,"$140,000 (Commission)",Good,730
431,COLLINS AKIRA,23,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
432,HARRIS DAMIEN,17,,Atlanta,High School,Gig Worker,"$32,000 (Unstable)",Average,600
433,MASON KENDRA,17,,Atlanta,Bachelor's,Employed (Contract),"$100,000 ",Excellent,790
434,FOWLES DEON,27,,Atlanta,Master's,Retired,"$65,000 (Social Security)",Good,760
435,HAMM DARIEL,19,,Atlanta,Master's,Student (Full-time),$0 ,Excellent,None
436,WATSON BYRON,18,,Atlanta,PhD,Employed,"$90,000 ",Good,800
437,PLATT JOHN,56,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
438,PIERCE RONNIE,40,,Atlanta,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
439,RANDELL TAVARIS,22,,Atlanta,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
440,WHITAKER EVERETT,43,,Atlanta,,Retired,"$40,000 (Pension)",Good,710
441,HILL VICTOR,24,,Atlanta,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
442,MCCLURE OKEDAS,46,,Atlanta,High School,Employed,"$55,000 ",Excellent,780
443,JORDAN JAMES,68,,Atlanta,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
444,BYAS LEONARD,24,,Atlanta,Master's,Self-employed,"$140,000 ",Excellent,850
445,STONE CHAZ,22,,Atlanta,,Unemployed,$0 ,Poor,420
446,MCDOWELL GLEN SR.,33,,Atlanta,PhD,Employed,"$100,000 ",Average,750
447,NURSE EDWARD S,47,,Atlanta,Associate,Unemployed,$0 ,Good,N/A
448,PERRY DERRICK,27,,Atlanta,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
449,IBRAHIM M-HAMMED,28,,Atlanta,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
450,TESFAYE LUNA,22,,Atlanta,Master's,Retired,"$50,000 (Social Security)",Average,700
451,YUSUF HANA,26,,Atlanta,PhD,Unemployed,$0 ,Poor,N/A
452,FRAME TRACY,36,,Atlanta,Associate,Employed,"$40,000 ",Good,650
453,ROLAX ANNAIJH,9,,Atlanta,High School,Student (Full-time),$0 ,Excellent,None
454,MAYES DEON,29,,Atlanta,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
455,MCKIBBENS ANTHONY,41,,Atlanta,,Unemployed,$0 ,Average,400
456,CANTRELL RONNIE,54,,Atlanta,PhD,Employed,"$110,000 (Commission)",Good,770
457,WILCOX TERRY,48,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
458,BUSH JAMESON,21,,Atlanta,High School,Gig Worker,"$38,000 (Unstable)",Average,610
459,CLEMONS BYRON,20,,Atlanta,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
460,BILLINGSLEY ERIC,43,,Atlanta,Master's,Retired,"$55,000 (Social Security)",Good,730
461,GARCIA VENANCIO,23,,Atlanta,PhD,Unemployed,$0 ,Excellent (?!),N/A
462,SYDNEY TERRANCE,23,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
463,STILWELL WILLIAM,21,,Atlanta,Master's,Self-employed,"$120,000 ",Good,810
464,BROWN TORRENCE,51,,Atlanta,,Employed (Part-time),"$15,000 (Hourly)",Excellent,690
465,HERNANDEZ-GONZALEZ HUMBERTO,34,,Atlanta,PhD,Gig Worker,"$50,000 (Unstable)",Average,700
466,ARNOLD RONQUELL,19,,Atlanta,Associate,Self-employed,"$80,000 (Seasonal)",Poor,590
467,PIMPTON DURRELL,23,,Atlanta,Master's,Student (Full-time),$0 ,Excellent,None
468,ROSS DAVID,31,,Atlanta,PhD,Employed,"$90,000 ",Good,800
469,GUARINI STEVE,49,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
470,CATES JAMES JR.,58,,Atlanta,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
471,COPELAND CHRISTOPHER,20,,Atlanta,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
472,THOMAS MARIO,29,,Atlanta,,Retired,"$40,000 (Pension)",Good,710
473,ROBINSON KANAII,27,,Atlanta,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
474,TYE JURA,27,,Atlanta,High School,Employed,"$55,000 ",Excellent,780
475,RAY RHETT JR.,18,,Atlanta,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
476,LOWE CHARLES,47,,Atlanta,Master's,Self-employed,"$140,000 ",Excellent,850
477,ENGLISH GERALD,44,,Atlanta,,Unemployed,$0 ,Poor,420
478,LOTT DONOVAN,47,,Atlanta,PhD,Employed,"$100,000 ",Average,750
479,HUDGINS LEROY,52,,Atlanta,Associate,Unemployed,$0 ,Good,N/A
480,BUGG NATALIE,35,,Atlanta,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
481,CANNON GREGORY,33,,Atlanta,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
482,TURAY MOHAMED,38,,Atlanta,Master's,Retired,"$50,000 (Social Security)",Average,700
483,WATSON SYLVESTER,51,,Atlanta,PhD,Unemployed,$0 ,Poor,N/A
484,HILL CLEO,20,,Atlanta,Associate,Employed,"$40,000 ",Good,650
485,WIGGINS TONY,39,,Atlanta,High School,Student (Full-time),$0 ,Excellent,None
486,PUGH BARCHUNTAE,33,,Atlanta,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
487,FERGUSON RICHARD,49,,Atlanta,,Unemployed,$0 ,Average,400
488,MCGUIRE DENNIS,58,,Atlanta,PhD,Employed,"$110,000 (Commission)",Good,770
489,CURRY OLIVER,40,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
490,HUDSON DEONTE,18,,Atlanta,High School,Gig Worker,"$38,000 (Unstable)",Average,610
491,CULLINS WALTER,18,,Atlanta,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
492,DIRUL-ISLAM MANAJJ,42,,Atlanta,Master's,Retired,"$55,000 (Social Security)",Good,730
493,LESTER MICHAEL,50,,Atlanta,Master's,Student (Full-time),$0 ,Excellent,None
494,BELCHER KESHAWN,15,,Atlanta,PhD,Employed,"$150,000 (Commission)",Good,820
495,PHILLIPS JARVIS,18,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
496,BOYD PAMELA,44,,Atlanta,High School,Gig Worker,"$22,000 (Unstable)",Average,540
497,BOSTON MARK,28,,Atlanta,Bachelor's,Self-employed,"$80,000 ",Excellent,760
498,BOOKER RICHARD,78,,Atlanta,,Unemployed,$0 ,Poor,380 (Typo)
499,MCQUIRE STEVE,20,,Atlanta,Associate,Employed (Part-time),"$12,000 (Hourly)",Average,630
500,JONES JARVIS,17,,Atlanta,High School,Employed,"$60,000 ",Excellent,800
501,PRICE ANTORIO,30,,Atlanta,Bachelor's,Student (Part-time),"$15,000 (Summer Job)",Good,None
502,WASHINGTON BYRON,47,,Atlanta,Master's,Self-employed,"$100,000 (Seasonal)",Average,680
503,YARBROUGH JAMES,35,,Atlanta,PhD,Employed,"$150,000 (Outlier)",Excellent,880
504,LANGSTON TIMOTHY,25,,Atlanta,High School (GED),Unemployed,$0 ,Poor,N/A
505,ROLAND RUSSELL,40,,Atlanta,Bachelor's,Self-employed,"$80,000 (Unstable)",Average,630
506,HOGAN CARLOS,38,,Atlanta,,Student (Internship),"$20,000 (Stipend)",Good,None
507,SANCHEZ WILSON,24,,Atlanta,Associate,Employed (Part-time),"$30,000 (Hourly)",Excellent,760
508,RICHARDS JOSHUA,17,,Atlanta,Master's,Unemployed,$0 ,Poor,N/A
509,BADILLO BLANCA,17,,Atlanta,PhD,Gig Worker,"$45,000 (Unstable)",Average,590
510,LUVIANO POLICARPO,18,,Atlanta,High School,Employed,"$60,000 ",Excellent,810
511,JONES DION,31,,Atlanta,Bachelor's,Student (Full-time),$0 ,Good,None
512,BAILEY WILLIE,57,,Atlanta,,Self-employed,"$120,000 (Seasonal)",Average,660
513,FRANTZ JEAN-PIERRE,26,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
514,HILL RONNIE,46,,Atlanta,PhD,Employed,"$130,000 (Commission)",Good,740
515,CRUMBLEY RAPHAEL,23,,Atlanta,Master's,Student (Full-time),$0 ,Excellent,None
516,BOYD ALFRED,45,,Atlanta,PhD,Employed,"$90,000 ",Good,800
517,HOLT DEMETRIUS,25,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
518,JONES DAVID,Unknown,,Atlanta,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
519,MILDTON JAKOBE,33,,Atlanta,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
520,RODRIGUEZ JOSE,26,,Atlanta,,Retired,"$40,000 (Pension)",Good,710
521,WILLIAMS SHANNON,17,,Atlanta,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
522,SANCHEZ-MENDEZ MARC,4,,Atlanta,High School,Employed,"$55,000 ",Excellent,780
523,WALDON JEFFREY,26,,Atlanta,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
524,STEGER SABRINA,22,,Atlanta,Master's,Self-employed,"$140,000 ",Excellent,850
525,RAMEY BEN,101,,Atlanta,,Unemployed,$0 ,Poor,420
526,BROWN MARLON,36,,Atlanta,PhD,Employed,"$100,000 ",Average,750
527,LEWIS CLYDE,30,,Atlanta,Associate,Unemployed,$0 ,Good,N/A
528,SPRATLING WESTON,24,,Atlanta,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
529,LOWE CHARLES,43,,Atlanta,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
530,ANDERSON DARRELL,44,,Atlanta,Master's,Retired,"$50,000 (Social Security)",Average,700
531,TOLBERT ANTOINE,21,,Atlanta,PhD,Unemployed,$0 ,Poor,N/A
532,MCGHEE ROBERT,62,,Atlanta,Associate,Employed,"$40,000 ",Good,650
533,JEFFRIES DEBORAH,51,,Atlanta,High School,Student (Full-time),$0 ,Excellent,None
534,WASHINGTON JUSTIN,24,,Atlanta,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
535,TORRES-GONZALES DOMINGO,29,,Atlanta,,Unemployed,$0 ,Average,400
536,FIELDS JUWAN,24,,Atlanta,PhD,Employed,"$110,000 (Commission)",Good,770
537,ENGLISH JAMES,51,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
538,HANSELL JAMES,35,,Atlanta,High School,Gig Worker,"$38,000 (Unstable)",Average,610
539,DRAYDEN DEMARQUEZ,17,,Atlanta,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
540,ELLY ARAMINTA,25,,Atlanta,Master's,Retired,"$55,000 (Social Security)",Good,730
541,NELSON KEITH,37,,Atlanta,PhD,Employed,"$150,000 (Outlier)",Excellent,880
542,WILKERSON SHELTON,36,,Atlanta,High School (GED),Unemployed,$0 ,Poor,N/A
543,DANIELS ELVIS,25,,Atlanta,Bachelor's,Self-employed,"$80,000 (Unstable)",Average,630
544,JOHNSON THADDEUS,42,,Atlanta,,Student (Internship),"$20,000 (Stipend)",Good,None
545,DENUNE CATHY,44,,Atlanta,Associate,Employed (Part-time),"$30,000 (Hourly)",Excellent,760
546,KEMP KEVIN,17,,Atlanta,Master's,Unemployed,$0 ,Poor,N/A
547,JENNINGS KYLE,20,,Atlanta,PhD,Gig Worker,"$45,000 (Unstable)",Average,590
548,UPSHAW HERMAN,56,,Atlanta,High School,Employed,"$60,000 ",Excellent,810
549,MORGAN RODRICUS,24,,Atlanta,Bachelor's,Student (Full-time),$0 ,Good,None
550,BUCKLEY RAVEN,25,,Atlanta,,Self-employed,"$120,000 (Seasonal)",Average,660
551,ANGELIN REGINALD JR.,31,,Atlanta,Associate,Unemployed,$0 ,Poor,N/A
552,PALMER LITTLEBOOC,29,,Atlanta,PhD,Employed,"$130,000 (Commission)",Good,740
553,GREEN JEFFERY,42,,Atlanta,Bachelor,Employed,"$80,000 ",Good,720
554,WILLIS RANDY,25,,Atlanta,Associate,Unemployed,$0 ,Excellent,N/A
555,ADAMS LEWIS,43,,Atlanta,PhD,Self-employed,"$120,000 ",Poor,550
556,COLEMAN COREY,16,,Atlanta,High School,Employed,"$45,000 ",Excellent,800
557,CANNON IMAN,21,,Atlanta,Master's,Retired,"$50,000 ",Average,680
558,BUTTS WALSTEEN,33,,Atlanta,,Student,$0 ,Good,N/A
559,JOHNSON RAYMOND,29,,Atlanta,,Unemployed,Missing,Poor,400
560,WHITMAN RONALD JR.,32,,Atlanta,Associate,Employed,"$65,000 ",,750
561,COLBERT KENNETH,48,,Atlanta,High School,Self-employed,"$30,000 ",Excellent,600
562,BROWN AMIYA,1,,Atlanta,PhD,Employed,"$100,000 ",Average,790
563,WEEMS FREDRICK,35,,Atlanta,PhD,Retired,$0 ,Average,537
564,PARRISH DAYTREE,17,,Atlanta,Bachelor's,Unemployed,$0 ,Excellent,None
565,WINGFIELD JERRY,29,,Atlanta,High School,Unemployed,$0 ,Good,457
566,KENDRICK JAMAL,24,,Atlanta,PhD,Unemployed,$0 ,,N/A
567,GLENN COREY,22,,Atlanta,Bachelor's,Retired,$0 ,,None
568,ROSS CABOCUZ,29,,Atlanta,,Student,$0 ,,N/A
569,ANDERSON MITCHELL,44,,Atlanta,Master's,Self-employed,"$135,068 ",Average,794
570,SIMPSON MARCUS,28,,Atlanta,PhD,Employed,"($50,975)",Good,None
571,STRONG ANTONIO,20,,Atlanta,Master's,Unemployed,$0 ,Good,814
572,BYRD VONYELL,26,,Atlanta,PhD,Self-employed,"($102,073)",Poor,780
